OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,TotalGHGEmissions,GHGEmissionsIntensity
681.0,NonResidential,Large Office,1633 Westlake Building,1633 Westlake Avenue North,8807900360,MAGNOLIA / QUEEN ANNE,2000.0,1.0,4.0,191146.0,94892.0,96254.0,"Office, Parking",Office,103000.0,Parking,80000.0,RAS,0.0,93.0,49.5,49.5,155.5,155.5,5101504.5,5101504.5,0.0,5101504.0,0.0,False,35.56,0.19
682.0,NonResidential,Other,West Seattle Fitness,2629 SW Andover Street,9358000300,DELRIDGE,2001.0,1.0,3.0,68763.0,11527.0,57236.0,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,65.44972577696527,180.6000061,191.8999939,343.1000061,355.0,9029489.0,9596839.0,0.0,3670762.0,5358726.0,False,310.19,4.51
683.0,NonResidential,Other,Rainier Square Plaza,3820 Rainier Ave S,9834201515,SOUTHEAST,1994.0,3.0,1.0,102133.0,0.0,102133.0,"Parking, Strip Mall",Strip Mall,107427.0,Parking,0.0,RAS,0.0,65.44972577696527,192.8999939,199.3000031,443.0,447.6000061,20725996.0,21406232.0,0.0,12356956.0,8369038.0,False,530.62,5.2
685.0,NonResidential,Large Office,818 Stewart,818 Stewart Street,2285050000,DOWNTOWN,2008.0,1.0,14.0,362046.0,0.0,362046.0,"Office, Other, Parking",Office,232443.0,Parking,97874.0,Other,3534.0,86.0,66.59999847,66.59999847,207.8000031,207.8000031,15725581.0,15725581.0,0.0,15566951.0,158627.0,False,116.95,0.32
689.0,NonResidential,Other,Marketplace at Queen Anne,600 1st Ave N,5161000000,MAGNOLIA / QUEEN ANNE,1994.0,3.0,2.0,81336.0,0.0,81336.0,Lifestyle Center,Lifestyle Center,81385.0,RAS,0.0,RAS,0.0,65.44972577696527,160.8000031,164.1999969,405.2999878,406.2000122,13085297.0,13360349.0,0.0,9206777.0,3878519.0,False,270.17,3.32
690.0,NonResidential,Large Office,One Convention Place,701 Pike Street,5342900000,DOWNTOWN,2001.0,1.0,2.0,538933.0,0.0,538933.0,"Office, Parking",Office,366554.0,Parking,122821.0,RAS,0.0,90.0,43.70000076,44.59999847,137.1999969,140.0,16020642.0,16339807.0,0.0,16020640.0,0.0,False,111.69,0.21
692.0,NonResidential,Other,2323 Elliott,2323 Elliott Avenue,6780950000,DOWNTOWN,1983.0,1.0,6.0,275982.0,0.0,78852.0,"Office, Parking",Parking,197040.0,Office,78852.0,RAS,0.0,65.44972577696527,66.40000153,66.40000153,208.3999939,208.3999939,5233553.5,5233553.5,0.0,5233553.0,0.0,False,36.49,0.13
693.0,NonResidential,Small- and Mid-Sized Office,Queen Anne Square East (200),200 W Mercer St,7015350000,MAGNOLIA / QUEEN ANNE,1982.0,1.0,5.0,98668.0,0.0,98668.0,Office,Office,98668.0,RAS,0.0,RAS,0.0,91.0,44.5,44.5,139.6999969,139.8999939,4391348.0,4395027.0,0.0,4391348.0,0.0,False,30.61,0.31
694.0,NonResidential,Large Office,Rainier Brewery,3100 Airport Way South,7135400000,GREATER DUWAMISH,2007.0,1.0,1.0,158931.0,28381.0,130550.0,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,80157.0,Multifamily Housing,34302.0,Parking,26937.0,12.0,67.69999695,72.19999695,199.3000031,210.3999939,8751704.0,9336260.0,0.0,7938248.0,813455.0,False,98.54,0.62
696.0,NonResidential,Large Office,"Ocean Beauty Seafoods, LLC",1100 W Ewing St,7666200070,MAGNOLIA / QUEEN ANNE,1978.0,1.0,1.0,105100.0,0.0,105100.0,Office,Office,105100.0,RAS,0.0,RAS,0.0,1.0,210.1000061,214.8000031,571.7000122,576.5999756,22078064.0,22571400.0,0.0,17657706.0,4420357.0,False,357.86,3.4
700.0,NonResidential,Supermarket/Grocery Store,IUC- Whole Foods Interbay,2001 15th Avenue West,7666201460,MAGNOLIA / QUEEN ANNE,2008.0,1.0,1.0,57176.0,0.0,57176.0,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,39500.0,Retail Store,15000.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500.0,31.0,208.8000031,214.1000061,0.0,0.0,12525174.0,12843856.0,0.0,0.0,0.0,False,0.0,0.0
701.0,NonResidential,Retail Store,Elliot Industrial,1523-1541 15th Ave West,7666201690,MAGNOLIA / QUEEN ANNE,1978.0,1.0,1.0,50660.0,0.0,50660.0,Retail Store,Retail Store,50660.0,RAS,0.0,RAS,0.0,51.0,52.5,58.40000153,127.3000031,133.1000061,2661488.0,2956254.5,0.0,1747974.0,913514.0,False,60.7,1.2
702.0,NonResidential,Small- and Mid-Sized Office,Hays Elliot,1461-1489 Elliot Ave W,7666201740,MAGNOLIA / QUEEN ANNE,1937.0,1.0,2.0,61929.0,0.0,61929.0,Office,Office,39879.0,RAS,0.0,RAS,0.0,59.0,55.20000076,60.70000076,127.5999985,133.3999939,2203026.5,2421613.25,0.0,1328054.0,874972.0,False,55.73,0.9
703.0,NonResidential,Large Office,501 Elliott Ave West,501 Elliot Ave West,7666202080,MAGNOLIA / QUEEN ANNE,2000.0,1.0,4.0,165111.0,55000.0,110111.0,"Data Center, Office, Parking",Office,104667.0,Parking,55000.0,Data Center,5444.0,1.0,231.3999939,231.3999939,131.0,134.25,25478086.0,25478086.0,0.0,25478083.0,0.0,False,177.62,1.08
704.0,NonResidential,Large Office,401 Elliott Ave West,401 Elliot Ave West,7666202110,MAGNOLIA / QUEEN ANNE,2000.0,1.0,4.0,129551.0,42500.0,87051.0,"Data Center, Office, Parking",Office,82273.0,Parking,42500.0,Data Center,4778.0,1.0,51.90000153,53.90000153,131.0,134.25,27137190.0,27137190.0,0.0,27137187.0,0.0,False,189.18,1.46
19755.0,NonResidential,Small- and Mid-Sized Office,"2607 Building, LLC",2607 2nd Avenue,0654000120,DOWNTOWN,1925.0,1.0,3.0,20565.0,0.0,20565.0,Office,Office,20565.0,RAS,0.0,RAS,0.0,65.0,39.0,40.40000153,122.5,126.6999969,802312.5,830100.0,0.0,802312.0,0.0,False,5.59,0.27
705.0,NonResidential,Large Office,351 Elliott Ave West,351 Elliot Ave West,7666202133,MAGNOLIA / QUEEN ANNE,2000.0,1.0,5.0,159937.0,55971.0,103966.0,"Office, Parking",Office,106449.0,Parking,50258.0,RAS,0.0,63.0,73.80000305,73.80000305,231.8000031,231.8000031,7857972.5,7857972.5,0.0,7857972.0,0.0,False,54.78,0.34
706.0,NonResidential,Large Office,333 Elliott West,333 Elliott Ave W,7666202160,MAGNOLIA / QUEEN ANNE,2008.0,1.0,5.0,183964.0,46763.0,137201.0,"Data Center, Office, Parking",Office,133451.0,Parking,46763.0,Data Center,3750.0,56.0,108.3000031,108.3000031,340.0,340.0,14856199.0,14856199.0,0.0,14856198.0,0.0,False,103.57,0.56
707.0,NonResidential,Large Office,101 ELLIOTT AVENUE WEST,101 Elliott Ave West,7666202220,MAGNOLIA / QUEEN ANNE,1986.0,1.0,5.0,208210.0,78848.0,129362.0,"Office, Parking",Office,109978.0,Parking,78848.0,RAS,0.0,95.0,50.09999847,52.70000076,125.1999969,127.9000015,5514308.5,5799664.5,0.0,3817281.0,1697027.0,False,116.74,0.56
708.0,NonResidential,Large Office,3131 Elliott Avenue,3131 Elliott Avenue,7666202240,DOWNTOWN,1986.0,1.0,7.0,277486.0,80283.0,197203.0,"Office, Other, Parking",Office,178625.0,Parking,87624.0,Other,14653.0,63.0,65.90000153,65.90000153,206.8000031,206.8000031,12729858.0,12729858.0,0.0,12729856.0,0.0,False,88.74,0.32
709.0,NonResidential,Large Office,Pier 69 Corporate HQ,2711 Alaskan Way,7666202295,DOWNTOWN,1993.0,1.0,3.0,187130.0,0.0,187130.0,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",Office,171783.0,Non-Refrigerated Warehouse,9581.0,Other - Recreation,4413.0,77.0,52.59999847,54.59999847,165.1000061,171.6000061,10053489.0,10445641.0,0.0,10053488.0,0.0,False,70.09,0.37
710.0,NonResidential,Large Office,World Trade Center - North,2401 Elliott Avenue,7666202320,DOWNTOWN,2000.0,1.0,5.0,251044.0,117867.0,133177.0,"Data Center, Office",Office,126218.0,Data Center,12717.0,RAS,0.0,99.0,123.6999969,123.6999969,388.3999939,388.3999939,17186624.0,17186624.0,0.0,17186623.0,0.0,False,119.81,0.48
711.0,NonResidential,Warehouse,08495-Pier 57,1334 Alaskan Way,7666202440,DOWNTOWN,1912.0,1.0,5.0,154330.0,0.0,154330.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,95330.0,RAS,0.0,RAS,0.0,81.0,13.19999981,14.80000019,41.59999847,46.5,1262235.25,1411471.75,0.0,1262235.0,0.0,False,8.8,0.06
712.0,NonResidential,Large Office,51 University,51 University,7666202475,DOWNTOWN,1918.0,1.0,6.0,108245.0,14690.0,93555.0,"Adult Education, Fitness Center/Health Club/Gym, Office, Other - Restaurant/Bar, Parking, Retail Store",Office,64055.0,Adult Education,14621.0,Parking,12359.0,65.44972577696527,45.79999924,47.5,138.6999969,144.0,4515180.5,4682152.5,266262.0,4248918.0,0.0,False,50.17,0.46
713.0,NonResidential,Large Office,National Building,1008 Western Ave,7666202515,DOWNTOWN,1905.0,1.0,6.0,167860.0,0.0,167860.0,"Data Center, Office, Retail Store",Office,110370.0,Retail Store,19801.0,Data Center,634.0,70.0,52.0,53.90000153,163.1999969,169.1999969,6797647.0,7046428.5,0.0,6797646.0,0.0,False,47.39,0.28
715.0,NonResidential,Large Office,Polson Building,71 Columbia Street,7666202565,DOWNTOWN,1910.0,1.0,6.0,112560.0,0.0,112560.0,"Office, Retail Store",Office,80400.0,Retail Store,16080.0,RAS,0.0,86.0,51.29999924,54.59999847,131.3000031,134.3000031,4946798.5,5268183.0,0.0,3574020.0,1372778.0,False,97.82,0.87
716.0,NonResidential,Retail Store,Western Building,619 Western Avenue,7666202570,DOWNTOWN,1910.0,1.0,6.0,86204.0,0.0,86204.0,Retail Store,Other,67670.0,Retail Store,13534.0,RAS,0.0,89.0,43.5,45.0,596.7999878,594.5,3241917.0,3350477.0,0.0,2235899.0,1006018.0,False,69.02,0.8
717.0,Nonresidential COS,Warehouse,Airport Way Ctr - Bldg C,2203 Airport Way S,7666203240,GREATER DUWAMISH,1985.0,1.0,2.0,145158.0,0.0,145158.0,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,101633.0,Office,48544.0,Other,10270.0,51.0,52.29999924,53.70000076,146.8999939,148.0,8384523.0,8615958.0,0.0,7062138.0,1322385.0,False,119.46,0.82
718.0,NonResidential,Large Office,Holgate Center,1737 Airport Way South,7666203300,GREATER DUWAMISH,1951.0,1.0,2.0,112896.0,0.0,112896.0,"Office, Parking",Office,110746.0,Parking,57500.0,RAS,0.0,66.0,92.90000153,95.90000153,256.6000061,258.7000122,10287986.0,10622784.0,0.0,8429189.0,1858797.0,False,157.48,1.39
719.0,NonResidential,Distribution Center,MACMILLAN-PIPER EYRES WAREHOUSE,1762 6th Ave S,7666203440,GREATER DUWAMISH,1960.0,1.0,1.0,110613.0,0.0,110613.0,"Distribution Center, Office",Distribution Center,99551.0,Office,11061.0,RAS,0.0,95.0,9.199999809,9.199999809,28.79999924,28.79999924,1015060.188,1015060.188,0.0,1015060.0,0.0,False,7.08,0.06
720.0,NonResidential,Warehouse,6th & Holgate Building,1930 6th Ave. South,7666203467,GREATER DUWAMISH,1951.0,1.0,4.0,149881.0,0.0,149881.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,119593.0,Office,30288.0,RAS,0.0,97.0,16.10000038,19.10000038,26.79999924,29.89999962,2417401.25,2869350.25,0.0,705059.0,1712342.0,False,95.86,0.64
722.0,NonResidential,Warehouse,(ID722)INDUSTRIAL TRANSFER WAREHOUSE,2440 6TH AVE S,7666203530,GREATER DUWAMISH,1951.0,1.0,3.0,98220.0,0.0,98220.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,129420.0,RAS,0.0,RAS,0.0,12.0,50.0,50.70000076,146.3999939,147.1000061,6468090.0,6562048.5,0.0,5813591.0,654498.0,False,75.29,0.77
723.0,NonResidential,Distribution Center,North Coast Electric,2450 8th Ave S,7666203538,GREATER DUWAMISH,1970.0,1.0,1.0,84420.0,0.0,84420.0,"Distribution Center, Office, Retail Store",Distribution Center,44300.0,Office,24838.0,Retail Store,12349.0,55.0,35.0,35.40000153,109.8000031,111.0999985,2848317.25,2882685.0,0.0,2848317.0,0.0,False,19.86,0.24
725.0,NonResidential,Distribution Center,Pacific Millennial Realty LLC,3623 6th Ave S,7666204100,GREATER DUWAMISH,1961.0,1.0,1.0,73335.0,0.0,73335.0,"Distribution Center, Parking",Distribution Center,73335.0,Parking,0.0,RAS,0.0,65.44972577696527,70.90000153,74.5,148.6999969,152.5,5197118.0,5459973.5,0.0,2606839.0,2590279.0,False,155.74,2.12
727.0,NonResidential,Distribution Center,2700 4th Ave S (Best Fixture/Filson),2700 4th Ave S,7666204225,GREATER DUWAMISH,1928.0,1.0,2.0,56876.0,0.0,56876.0,"Distribution Center, Office, Retail Store",Distribution Center,48400.0,Office,4276.0,Retail Store,4200.0,65.44972577696527,31.5,35.40000153,70.19999695,74.40000153,1791715.625,2015776.625,0.0,1011283.0,780432.0,False,48.5,0.85
728.0,NonResidential,Warehouse,Pacific Iron & Metal,2230 4th Ave S,7666204430,GREATER DUWAMISH,1931.0,1.0,2.0,61200.0,0.0,61200.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61200.0,RAS,0.0,RAS,0.0,16.0,80.30000305,86.40000153,145.1999969,151.6000061,4912143.0,5285776.5,0.0,1782902.0,3129241.0,False,178.62,2.92
729.0,NonResidential,Distribution Center,Gensco Incorporated,1703 6th Ave S,7666204590,GREATER DUWAMISH,1987.0,1.0,1.0,111908.0,0.0,111908.0,Distribution Center,Distribution Center,109090.0,RAS,0.0,RAS,0.0,87.0,14.30000019,15.30000019,35.09999847,36.20000076,1555420.25,1667059.125,0.0,1050508.0,504912.0,False,34.14,0.31
730.0,NonResidential,Other,(ID#730)Campus 4:KC Metro Transit Ryerson Base,1200 4TH AVE S,7666204685,GREATER DUWAMISH,1986.0,3.0,2.0,63644.0,0.0,63644.0,"Other - Public Services, Parking",Other - Public Services,65700.0,Parking,0.0,RAS,0.0,65.44972577696527,104.4000015,113.4000015,244.6000061,254.0,6858533.5,7448018.0,0.0,4242711.0,2615822.0,False,168.5,2.65
731.0,NonResidential,Mixed Use Property,SALVATION ARMY (ID#731),1000 4TH AVE S,7666204745,GREATER DUWAMISH,1930.0,3.0,2.0,108753.0,18860.0,89893.0,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store, Worship Facility",Non-Refrigerated Warehouse,58605.0,Multifamily Housing,24338.0,Retail Store,18864.0,65.44972577696527,33.5,34.20000076,105.0999985,107.3000031,3639670.25,3714717.25,0.0,3639670.0,0.0,False,25.37,0.23
732.0,NonResidential,Supermarket/Grocery Store,70100122-Greenwood,100 NW 85th Street,9231900160,NORTHWEST,1970.0,1.0,1.0,141890.0,35545.0,106345.0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,168735.0,Parking,0.0,Parking,0.0,91.0,100.0,103.0,266.6000061,269.7999878,16865978.0,17384564.0,0.0,13051820.0,3814156.0,False,293.56,2.07
734.0,NonResidential,Small- and Mid-Sized Office,1455 Leary,1455 NW Leary Way,2768302690,BALLARD,2001.0,1.0,4.0,92092.0,21055.0,71037.0,Office,Office,70074.0,RAS,0.0,RAS,0.0,5.0,68.69999695,68.69999695,215.8999939,215.8999939,4817062.0,4817062.0,0.0,4817062.0,0.0,False,33.58,0.36
735.0,NonResidential,Warehouse,Seattle Marine & Fishing Supply Co.,2121 West Commodore Way,2771100415,MAGNOLIA / QUEEN ANNE,1974.0,0.0,3.0,56259.0,0.0,56259.0,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,31582.0,Retail Store,20962.0,Office,3715.0,65.44972577696527,41.70000076,47.70000076,74.19999695,80.5,2346571.5,2685146.5,0.0,817697.0,1528874.0,False,86.9,1.54
738.0,NonResidential,Other,UW Benjamin Hall IRB,616 NE Northlake Place,4207401365,NORTHEAST,2006.0,1.0,6.0,143439.0,0.0,143439.0,"Other, Parking",Other,119570.0,Parking,23869.0,RAS,0.0,65.44972577696527,214.3999939,215.1999969,471.6000061,463.1000061,25631512.0,25736450.0,0.0,14100771.0,11530741.0,False,710.7,4.95
739.0,NonResidential,Large Office,Lakeview 837 N 34th,837 N 34th Street,1973200389,LAKE UNION,2008.0,1.0,4.0,202623.0,88855.0,113768.0,"Fitness Center/Health Club/Gym, Office, Parking",Office,105206.0,Parking,31992.0,Fitness Center/Health Club/Gym,6374.0,73.0,79.5,79.5,249.6999969,249.6999969,8873485.0,8873485.0,0.0,8873484.0,0.0,False,61.86,0.31
740.0,NonResidential,Small- and Mid-Sized Office,The Canal View Building,551 N 34th St,1972206514,LAKE UNION,2000.0,1.0,2.0,77174.0,25800.0,51374.0,Office,Office,77174.0,RAS,0.0,RAS,0.0,33.0,71.0,71.0,223.0,223.0,5481549.0,5481549.0,0.0,5481548.0,0.0,False,38.21,0.5
741.0,NonResidential,Large Office,1000 Dexter-RREEF  SeaDPD ID 741,1000 Dexter Avenue North,2249500235,MAGNOLIA / QUEEN ANNE,1998.0,1.0,5.0,110524.0,0.0,110524.0,"Office, Other, Parking",Office,98781.0,Other,8634.0,Parking,0.0,57.0,63.90000153,63.90000153,200.5,200.5,6859198.0,6859198.0,0.0,6859197.0,0.0,False,47.82,0.43
742.0,NonResidential,Mixed Use Property,1100 Eastlake,1100 Eastlake Ave,2163901105,LAKE UNION,2008.0,1.0,5.0,287224.0,103650.0,183574.0,"Data Center, Office, Other, Parking",Parking,97500.0,Office,88051.0,Other,0.0,65.44972577696527,139.8999939,141.6000061,388.8999939,390.7000122,21042926.0,21299472.0,0.0,17407502.0,3635421.0,False,314.43,1.09
743.0,NonResidential,Laboratory,Dendreon Pharmaceuticals Inc. (Building Owner is Alexandria Real Estate),1208 Eastlake Avenue East,2163901160,LAKE UNION,1999.0,1.0,4.0,115748.0,18382.0,97366.0,Laboratory,Laboratory,97365.0,RAS,0.0,RAS,0.0,65.44972577696527,51.90000153,53.90000153,131.0,134.25,36436388.0,35938164.0,0.0,16913185.0,19523202.0,False,1154.79,0.88
744.0,NonResidential,Large Office,West Tower,400 Second Avenue,1989200750,MAGNOLIA / QUEEN ANNE,2000.0,1.0,7.0,241875.0,84689.0,157186.0,"Office, Parking",Office,163082.0,Parking,83425.0,RAS,0.0,88.0,53.09999847,53.5,164.5,165.0,8655604.0,8732968.0,0.0,8488392.0,167210.0,False,68.06,0.28
745.0,NonResidential,Large Office,190 Queen Anne,190 Queen Anne,1989201385,MAGNOLIA / QUEEN ANNE,1974.0,1.0,5.0,102930.0,18720.0,84210.0,"Office, Parking",Office,89075.0,Parking,15164.0,RAS,0.0,85.0,53.29999924,56.5,151.1999969,155.6999969,4750799.0,5034942.5,0.0,4059275.0,691523.0,False,65.03,0.63
748.0,NonResidential,Small- and Mid-Sized Office,Pier 70,2801 Alaskan Way,7666202292,DOWNTOWN,1902.0,1.0,3.0,76893.0,0.0,76893.0,"Office, Parking, Retail Store",Office,90345.0,Parking,33380.0,Retail Store,15845.0,65.44972577696527,113.3000031,115.6999969,280.5,285.8999939,12029600.0,12289373.0,0.0,8209260.0,3820339.0,False,260.13,3.38
749.0,NonResidential,Large Office,Fourth and Vine,2601 Fourth Avenue,0656000410,DOWNTOWN,1975.0,1.0,8.0,150000.0,23630.0,126370.0,"Office, Parking",Office,126648.0,Parking,23913.0,RAS,0.0,65.0,73.80000305,77.69999695,212.1000061,218.3000031,9343428.0,9836703.0,0.0,8155743.0,1187684.0,False,119.93,0.8
750.0,NonResidential,Large Office,Children's Hospital Research Building #2,1915 Terry Ave,0660001255,DOWNTOWN,1953.0,1.0,7.0,274362.0,0.0,274362.0,Office,Office,274362.0,RAS,0.0,RAS,0.0,82.0,60.29999924,60.40000153,183.8999939,184.1000061,16540550.0,16572684.0,0.0,15836054.0,704494.0,False,147.82,0.54
751.0,NonResidential,Large Office,Blanchard Plaza (CoS Energy Reporting),2201 Sixth Avenue,0697000235,DOWNTOWN,1983.0,1.0,15.0,378002.0,116280.0,261722.0,"Office, Parking",Office,270237.0,Parking,71602.0,RAS,0.0,85.0,65.69999695,67.5,185.6000061,185.8999939,17750994.0,18235512.0,0.0,15083312.0,2667680.0,False,246.83,0.65
752.0,NonResidential,Large Office,ACTIVE VOICE,2033 6th Ave,0659000930,DOWNTOWN,1963.0,1.0,11.0,169020.0,0.0,169020.0,"Bar/Nightclub, Office, Personal Services (Health/Beauty, Dry Cleaning, etc)",Office,156414.0,Bar/Nightclub,10337.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",8208.0,83.0,65.59999847,68.69999695,157.5,161.1999969,11480494.0,12019477.0,2887565.25,7209495.0,1383432.0,False,346.62,2.05
753.0,NonResidential,Other,WestinBuilding,2001 6th Ave,0659000950,DOWNTOWN,1981.0,1.0,2.0,429405.0,0.0,429405.0,"Data Center, Office",Data Center,218997.0,Office,0.0,RAS,0.0,98.0,51.90000153,53.90000153,131.0,134.25,2557796.375,2691883.125,0.0,1613401.5,149672.0,False,1921.82,4.48
775.0,NonResidential,Large Office,Columbia Center - 2015,701 5th Avenue,0942000640,DOWNTOWN,1985.0,1.0,2.0,49289.5,0.0,47391.5,"Office, Parking",Office,44039.0,Parking,0.0,RAS,0.0,86.0,55.29999924,55.09999847,167.3000031,166.5,92937640.0,2691883.125,0.0,1613401.5,5085763.0,False,882.56,0.45
754.0,NonResidential,Large Office,Eighth & Olive - New,720 Olive Way,0659000305,DOWNTOWN,1981.0,1.0,19.0,383515.0,89778.0,293737.0,"Medical Office, Office, Parking",Office,312442.0,Parking,84800.0,Medical Office,18799.0,90.0,47.90000153,49.0,150.5,153.8000031,15878689.0,16228155.0,0.0,15878687.0,0.0,False,110.7,0.29
755.0,NonResidential,Medical Office,Medical Dental Building,509 Olive Way,0659000085,DOWNTOWN,1925.0,1.0,18.0,363934.0,28870.0,335064.0,"Medical Office, Parking, Retail Store",Medical Office,281598.0,Parking,27597.0,Retail Store,21519.0,68.0,72.90000153,76.30000305,190.0,192.6000061,22104512.0,23128454.0,6090187.5,16002341.0,11981.0,False,582.28,1.6
756.0,NonResidential,Retail Store,601 Pine St,601 Pine St,1976700005,DOWNTOWN,1929.0,1.0,4.0,78920.0,0.0,78920.0,Retail Store,Retail Store,78920.0,RAS,0.0,RAS,0.0,80.0,105.1999969,105.1999969,300.6000061,300.6000061,8303666.5,8303666.5,0.0,7177346.0,1126320.0,False,109.85,1.39
757.0,NonResidential,Large Office,Market Place I & II-2003 Western Avenue,2003 Western Avenue,1977200280,DOWNTOWN,1979.0,1.0,7.0,131143.0,87160.0,43983.0,"Office, Retail Store",Office,120248.0,Retail Store,10853.0,RAS,0.0,93.0,39.5,74.56852856205165,128.0,0.0,5177270.5,8064790.43755734,0.0,4871126.0,1416041.0,False,109.16,0.83
758.0,NonResidential,Other,Pacific Place,600 Pine Street,6600470000,DOWNTOWN,1999.0,1.0,0.0,49289.5,0.0,47391.5,"Office, Other - Entertainment/Public Assembly, Other - Mall, Restaurant",Other - Mall,561684.0,Other - Entertainment/Public Assembly,100000.0,Restaurant,0.0,65.44972577696527,62.29999924,62.09999847,195.6000061,194.8999939,46510960.0,46343304.0,0.0,46510954.0,0.0,False,324.25,0.34
759.0,NonResidential,Mixed Use Property,Oddfellows,915 E Pine St,6003500460,EAST,1908.0,1.0,4.0,55520.0,0.0,55520.0,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",Office,17120.0,Performing Arts,15300.0,Self-Storage Facility,13400.0,65.44972577696527,66.40000153,70.30000305,106.4000015,110.5,3686962.25,3904791.25,0.0,973907.0,2713055.0,False,150.88,2.72
760.0,NonResidential,Large Office,Broadacres Building,1601 Second Avenue,1977200040,DOWNTOWN,1908.0,1.0,10.0,132998.0,0.0,132998.0,"Office, Retail Store",Office,138257.0,Retail Store,0.0,RAS,0.0,97.0,27.29999924,29.20000076,64.30000305,66.59999847,3775187.5,4040138.75,1530680.625,2244507.0,0.0,False,133.8,1.01
761.0,NonResidential,Retail Store,Ross Dress for Less,301 Pike Street,1975700300,DOWNTOWN,1940.0,1.0,3.0,83118.0,0.0,83118.0,Retail Store,Retail Store,45000.0,RAS,0.0,RAS,0.0,59.0,54.29999924,56.29999924,159.6000061,161.6999969,2443141.5,2533838.5,0.0,2209419.0,233722.0,False,27.82,0.33
762.0,NonResidential,Retail Store,Kress Building,1419 Third Avenue,1975700485,DOWNTOWN,1924.0,1.0,3.0,77555.0,0.0,77555.0,Retail Store,Retail Store,73563.0,RAS,0.0,RAS,0.0,39.0,106.0999985,106.0999985,333.0,333.0,7802205.5,7802205.5,0.0,7802052.0,153.0,False,54.4,0.7
763.0,NonResidential,Small- and Mid-Sized Office,Market Square,1415 Western Avenue,7666202405,DOWNTOWN,1909.0,1.0,6.0,51218.0,0.0,51218.0,"Office, Restaurant",Office,44913.0,Restaurant,7044.0,RAS,0.0,57.0,55.5,55.5,174.3999939,174.3999939,2886141.5,2886141.5,0.0,2886141.0,0.0,False,20.12,0.39
764.0,NonResidential,Large Office,Financial Center - COS Compliance,1215 4th Avenue,0002400002,DOWNTOWN,1970.0,1.0,2.0,489182.0,0.0,489182.0,"Office, Other - Restaurant/Bar, Other - Technology/Science, Parking",Office,371450.0,Parking,65451.0,Other - Technology/Science,9295.0,43.0,93.80000305,96.40000153,274.5,281.5,36378588.0,37351804.0,0.0,32633842.0,3744742.0,False,426.39,0.87
765.0,NonResidential,Large Office,Seattle Tower,1218 3rd Avenue,1975200005,DOWNTOWN,1929.0,1.0,2.0,216571.0,13320.0,203251.0,"Office, Other - Technology/Science, Parking",Office,182604.0,Parking,13320.0,Other - Technology/Science,6246.0,62.0,86.0,91.90000153,192.6999969,199.6999969,16246106.0,17352520.0,7413886.0,8704772.0,127447.0,False,639.72,2.95
766.0,NonResidential,Large Office,1200 3rd Ave,1200 3rd Ave,1975200015,DOWNTOWN,1921.0,1.0,13.0,189175.0,0.0,189175.0,"Office, Other",Office,151740.0,Other,12645.0,RAS,0.0,13.0,115.8000031,115.8000031,363.6000061,363.6000061,19036416.0,19036416.0,0.0,19036413.0,0.0,False,132.71,0.7
767.0,NonResidential,Large Office,1015 3rd Ave,1015 3rd Ave,0939000485,DOWNTOWN,1998.0,1.0,13.0,293803.0,74481.0,219322.0,"Office, Parking",Office,145491.0,Parking,70603.0,RAS,0.0,25.0,117.4000015,118.6999969,368.5,372.7000122,17074142.0,17267470.0,0.0,17074139.0,0.0,False,119.03,0.41
